attributeConfigurationNumber,modelName,numSimultaneousQueries,contextLevel,jsonResults,commonNameErrorRate,differenceToThinkingKey,avgInputTokens,avgOutputTokens,queriedSpecies,status
0,Qwen/Qwen2.5-0.5B-Instruct,32,0,,1.0,1.0,32.1875,56.25,"[{""sex"": ""male"", ""speciesName"": ""Sitta carolinensis""}, {""sex"": ""male"", ""speciesName"": ""Icterus galbula""}, {""sex"": ""male"", ""speciesName"": ""Setophaga americana""}, {""sex"": ""male"", ""speciesName"": ""Amphispiza bilineata""}, {""sex"": ""male"", ""speciesName"": ""Cistothorus palustris""}, {""sex"": ""female"", ""speciesName"": ""Setophaga tigrina""}, {""sex"": ""female"", ""speciesName"": ""Haemorhous cassinii""}, {""sex"": ""female"", ""speciesName"": ""Pyrocephalus rubinus""}, {""sex"": ""female"", ""speciesName"": ""Geothlypis trichas""}, {""sex"": ""male"", ""speciesName"": ""Spinus psaltria hesperophilus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga citrina""}, {""sex"": ""male"", ""speciesName"": ""Tiaris olivaceus""}, {""sex"": ""male"", ""speciesName"": ""Agelaius phoeniceus""}, {""sex"": ""female"", ""speciesName"": ""Pipilo maculatus""}, {""sex"": ""male"", ""speciesName"": ""Quiscalus quiscula""}, {""sex"": ""male"", ""speciesName"": ""Tachycineta thalassina""}, {""sex"": ""male"", ""speciesName"": ""Setophaga coronata""}, {""sex"": ""female"", ""speciesName"": ""Quiscalus major westoni""}, {""sex"": ""male"", ""speciesName"": ""Progne subis""}, {""sex"": ""female"", ""speciesName"": ""Piranga rubra""}, {""sex"": ""male"", ""speciesName"": ""Setophaga striata""}, {""sex"": ""female"", ""speciesName"": ""Icterus bullockii""}, {""sex"": ""male"", ""speciesName"": ""Junco hyemalis hyemalis""}, {""sex"": ""female"", ""speciesName"": ""Setophaga pinus""}, {""sex"": ""male"", ""speciesName"": ""Geothlypis trichas""}, {""sex"": ""male"", ""speciesName"": ""Polioptila caerulea""}, {""sex"": ""male"", ""speciesName"": ""Molothrus ater""}, {""sex"": ""male"", ""speciesName"": ""Setophaga occidentalis""}, {""sex"": ""male"", ""speciesName"": ""Polioptila melanura""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pinus""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""male"", ""speciesName"": ""Tityra semifasciata""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,32,1,,1.0,1.0,84.34375,56.25,"[{""sex"": ""male"", ""speciesName"": ""Leiothlypis celata""}, {""sex"": ""male"", ""speciesName"": ""Passerina caerulea""}, {""sex"": ""male"", ""speciesName"": ""Ramphocelus dimidiatus""}, {""sex"": ""male"", ""speciesName"": ""Tyrannus forficatus""}, {""sex"": ""male"", ""speciesName"": ""Pachyramphus aglaiae""}, {""sex"": ""female"", ""speciesName"": ""Icterus bullockii""}, {""sex"": ""male"", ""speciesName"": ""Thamnophilus doliatus""}, {""sex"": ""male"", ""speciesName"": ""Spiza americana""}, {""sex"": ""female"", ""speciesName"": ""Passerina amoena""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""female"", ""speciesName"": ""Haemorhous purpureus""}, {""sex"": ""male"", ""speciesName"": ""Manacus candei""}, {""sex"": ""male"", ""speciesName"": ""Cardellina pusilla""}, {""sex"": ""male"", ""speciesName"": ""Piranga ludoviciana""}, {""sex"": ""male"", ""speciesName"": ""Sitta carolinensis""}, {""sex"": ""male"", ""speciesName"": ""Cardellina canadensis""}, {""sex"": ""male"", ""speciesName"": ""Chlorophonia elegantissima""}, {""sex"": ""female"", ""speciesName"": ""Sialia currucoides""}, {""sex"": ""male"", ""speciesName"": ""Volatinia jacarina""}, {""sex"": ""male"", ""speciesName"": ""Icterus abeillei""}, {""sex"": ""male"", ""speciesName"": ""Setophaga striata""}, {""sex"": ""female"", ""speciesName"": ""Sitta carolinensis""}, {""sex"": ""male"", ""speciesName"": ""Corthylio calendula""}, {""sex"": ""male"", ""speciesName"": ""Tachycineta bicolor""}, {""sex"": ""male"", ""speciesName"": ""Chlorophanes spiza""}, {""sex"": ""male"", ""speciesName"": ""Icteria virens""}, {""sex"": ""male"", ""speciesName"": ""Polioptila caerulea""}, {""sex"": ""male"", ""speciesName"": ""Passer domesticus domesticus""}, {""sex"": ""male"", ""speciesName"": ""Passerina cyanea""}, {""sex"": ""male"", ""speciesName"": ""Geothlypis trichas""}, {""sex"": ""male"", ""speciesName"": ""Turdus migratorius""}, {""sex"": ""male"", ""speciesName"": ""Pipilo maculatus""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,32,4,,1.0,1.0,128.0,56.25,"[{""sex"": ""male"", ""speciesName"": ""Vireo atricapilla""}, {""sex"": ""female"", ""speciesName"": ""Cyanerpes cyaneus""}, {""sex"": ""male"", ""speciesName"": ""Pipilo maculatus""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis luciae""}, {""sex"": ""male"", ""speciesName"": ""Loxia leucoptera""}, {""sex"": ""female"", ""speciesName"": ""Eremophila alpestris""}, {""sex"": ""male"", ""speciesName"": ""Setophaga virens""}, {""sex"": ""male"", ""speciesName"": ""Haemorhous mexicanus""}, {""sex"": ""male"", ""speciesName"": ""Regulus satrapa""}, {""sex"": ""male"", ""speciesName"": ""Ramphocelus dimidiatus""}, {""sex"": ""male"", ""speciesName"": ""Melospiza melodia""}, {""sex"": ""male"", ""speciesName"": ""Calamospiza melanocorys""}, {""sex"": ""female"", ""speciesName"": ""Pipilo erythrophthalmus""}, {""sex"": ""male"", ""speciesName"": ""Passerina versicolor""}, {""sex"": ""male"", ""speciesName"": ""Sturnella neglecta""}, {""sex"": ""male"", ""speciesName"": ""Sturnus vulgaris""}, {""sex"": ""male"", ""speciesName"": ""Dacnis cayana""}, {""sex"": ""female"", ""speciesName"": ""Passerina caerulea""}, {""sex"": ""male"", ""speciesName"": ""Sporophila morelleti""}, {""sex"": ""male"", ""speciesName"": ""Agelaius phoeniceus""}, {""sex"": ""female"", ""speciesName"": ""Euphagus carolinus""}, {""sex"": ""female"", ""speciesName"": ""Pyrocephalus rubinus""}, {""sex"": ""male"", ""speciesName"": ""Bombycilla cedrorum""}, {""sex"": ""female"", ""speciesName"": ""Phainopepla nitens""}, {""sex"": ""female"", ""speciesName"": ""Spizella passerina""}, {""sex"": ""male"", ""speciesName"": ""Pheucticus ludovicianus""}, {""sex"": ""female"", ""speciesName"": ""Setophaga ruticilla""}, {""sex"": ""male"", ""speciesName"": ""Cardellina pusilla""}, {""sex"": ""male"", ""speciesName"": ""Geothlypis formosa""}, {""sex"": ""male"", ""speciesName"": ""Setophaga tigrina""}, {""sex"": ""male"", ""speciesName"": ""Icterus spurius""}, {""sex"": ""male"", ""speciesName"": ""Junco hyemalis hyemalis""}]",ok
0,Qwen/Qwen2.5-0.5B-Instruct,32,8,,1.0,1.0,128.0,56.25,"[{""sex"": ""male"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""female"", ""speciesName"": ""Ramphocelus passerinii""}, {""sex"": ""male"", ""speciesName"": ""Passerina caerulea""}, {""sex"": ""male"", ""speciesName"": ""Dolichonyx oryzivorus""}, {""sex"": ""female"", ""speciesName"": ""Corthylio calendula""}, {""sex"": ""female"", ""speciesName"": ""Pheucticus melanocephalus""}, {""sex"": ""male"", ""speciesName"": ""Melanospiza bicolor""}, {""sex"": ""female"", ""speciesName"": ""Passerina caerulea""}, {""sex"": ""female"", ""speciesName"": ""Molothrus ater""}, {""sex"": ""male"", ""speciesName"": ""Polioptila melanura""}, {""sex"": ""male"", ""speciesName"": ""Setophaga pensylvanica""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis luciae""}, {""sex"": ""male"", ""speciesName"": ""Setophaga fusca""}, {""sex"": ""female"", ""speciesName"": ""Molothrus aeneus""}, {""sex"": ""female"", ""speciesName"": ""Ramphocelus dimidiatus""}, {""sex"": ""male"", ""speciesName"": ""Cyanerpes cyaneus""}, {""sex"": ""male"", ""speciesName"": ""Sturnus vulgaris""}, {""sex"": ""female"", ""speciesName"": ""Setophaga virens""}, {""sex"": ""male"", ""speciesName"": ""Passer domesticus""}, {""sex"": ""male"", ""speciesName"": ""Setophaga coronata auduboni""}, {""sex"": ""female"", ""speciesName"": ""Spinus pinus""}, {""sex"": ""female"", ""speciesName"": ""Sialia mexicana""}, {""sex"": ""male"", ""speciesName"": ""Cardellina pusilla""}, {""sex"": ""female"", ""speciesName"": ""Psaltriparus minimus""}, {""sex"": ""female"", ""speciesName"": ""Sitta carolinensis""}, {""sex"": ""female"", ""speciesName"": ""Volatinia jacarina""}, {""sex"": ""male"", ""speciesName"": ""Zonotrichia albicollis""}, {""sex"": ""female"", ""speciesName"": ""Passerina ciris""}, {""sex"": ""male"", ""speciesName"": ""Chlorophanes spiza""}, {""sex"": ""female"", ""speciesName"": ""Junco hyemalis""}, {""sex"": ""male"", ""speciesName"": ""Mniotilta varia""}, {""sex"": ""male"", ""speciesName"": ""Leiothlypis ruficapilla""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,1,0,,1.0,1.0,476.0,240.0,"[{""sex"": ""female"", ""speciesName"": ""Setophaga coronata""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,1,1,,1.0,1.0,627.0,240.0,"[{""sex"": ""male"", ""speciesName"": ""Euphonia laniirostris""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,1,4,,1.0,1.0,766.0,240.0,"[{""sex"": ""female"", ""speciesName"": ""Setophaga castanea""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,1,8,,1.0,1.0,1056.0,240.0,"[{""sex"": ""male"", ""speciesName"": ""Pipilo maculatus""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,8,0,,1.0,1.0,73.875,87.5,"[{""sex"": ""male"", ""speciesName"": ""Cardellina pusilla""}, {""sex"": ""male"", ""speciesName"": ""Setophaga americana""}, {""sex"": ""male"", ""speciesName"": ""Polioptila melanura""}, {""sex"": ""male"", ""speciesName"": ""Quiscalus major""}, {""sex"": ""male"", ""speciesName"": ""Passerina ciris""}, {""sex"": ""male"", ""speciesName"": ""Ptiliogonys cinereus""}, {""sex"": ""female"", ""speciesName"": ""Passerina amoena""}, {""sex"": ""female"", ""speciesName"": ""Sporophila torqueola""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,8,1,,1.0,1.0,152.375,87.5,"[{""sex"": ""female"", ""speciesName"": ""Setophaga castanea""}, {""sex"": ""male"", ""speciesName"": ""Zonotrichia leucophrys""}, {""sex"": ""male"", ""speciesName"": ""Dolichonyx oryzivorus""}, {""sex"": ""male"", ""speciesName"": ""Passerina versicolor""}, {""sex"": ""female"", ""speciesName"": ""Setophaga caerulescens""}, {""sex"": ""male"", ""speciesName"": ""Coccothraustes vespertinus""}, {""sex"": ""male"", ""speciesName"": ""Icterus cucullatus""}, {""sex"": ""female"", ""speciesName"": ""Molothrus aeneus""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,8,4,"[{""scientificName"": ""Sitta carolinensis"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Thryomanes bewickii"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Melanospiza bicolor"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Ixoreus naevius"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Haemorhous cassinii"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Cardinalis cardinalis"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Pinicola enucleator"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}, {""scientificName"": ""Icterus bullockii"", ""commonName"": null, ""crownColor"": null, ""throatColor"": null, ""breastPattern"": null, ""wingBars"": null, ""billShape"": null, ""tailShape"": null, ""bellyColor"": null, ""backColor"": null, ""eyeMarking"": null, ""sizeClass"": null}]",1.0,1.0,282.25,87.5,"[{""sex"": ""female"", ""speciesName"": ""Sitta carolinensis""}, {""sex"": ""male"", ""speciesName"": ""Thryomanes bewickii""}, {""sex"": ""male"", ""speciesName"": ""Melanospiza bicolor""}, {""sex"": ""male"", ""speciesName"": ""Ixoreus naevius""}, {""sex"": ""male"", ""speciesName"": ""Haemorhous cassinii""}, {""sex"": ""male"", ""speciesName"": ""Cardinalis cardinalis""}, {""sex"": ""female"", ""speciesName"": ""Pinicola enucleator""}, {""sex"": ""male"", ""speciesName"": ""Icterus bullockii""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,8,8,,1.0,1.0,413.875,87.5,"[{""sex"": ""male"", ""speciesName"": ""Tiaris olivaceus""}, {""sex"": ""female"", ""speciesName"": ""Sporophila torqueola""}, {""sex"": ""male"", ""speciesName"": ""Passerina cyanea""}, {""sex"": ""female"", ""speciesName"": ""Geothlypis trichas""}, {""sex"": ""male"", ""speciesName"": ""Spinus lawrencei""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""male"", ""speciesName"": ""Polioptila melanura""}, {""sex"": ""female"", ""speciesName"": ""Cyanerpes cyaneus""}]",ok
1,Qwen/Qwen2.5-0.5B-Instruct,16,0,,1.0,1.0,46.625,75.0,"[{""sex"": ""female"", ""speciesName"": ""Volatinia jacarina""}, {""sex"": ""female"", ""speciesName"": ""Icterus cucullatus""}, {""sex"": ""male"", ""speciesName"": ""Agelaius phoeniceus""}, {""sex"": ""male"", ""speciesName"": ""Haemorhous purpureus""}, {""sex"": ""male"", ""speciesName"": ""Polioptila caerulea""}, {""sex"": ""female"", ""speciesName"": ""Psaltriparus minimus""}, {""sex"": ""male"", ""speciesName"": ""Sialia sialis""}, {""sex"": ""female"", ""speciesName"": ""Haemorhous mexicanus""}, {""sex"": ""male"", ""speciesName"": ""Thryothorus ludovicianus""}, {""sex"": ""male"", ""speciesName"": ""Turdus migratorius""}, {""sex"": ""male"", ""speciesName"": ""Ceratopipra mentalis""}, {""sex"": ""male"", ""speciesName"": ""Pachyramphus aglaiae""}, {""sex"": ""female"", ""speciesName"": ""Spinus psaltria""}, {""sex"": ""male"", ""speciesName"": ""Diglossa baritula""}, {""sex"": ""male"", ""speciesName"": ""Regulus satrapa""}, {""sex"": ""male"", ""speciesName"": ""Mniotilta varia""}]",ok
